iter	Passed	Remaining
0	157	157087
1	163	81646
2	173	57498
3	180	44841
4	188	37588
5	195	32445
6	203	28849
7	210	26047
8	216	23885
9	223	22159
10	230	20698
11	236	19501
12	243	18495
13	250	17651
14	257	16909
15	264	16283
16	271	15713
17	278	15201
18	286	14782
19	293	14371
20	300	14030
21	307	13681
22	315	13400
23	322	13113
24	329	12855
25	337	12625
26	347	12523
27	355	12337
28	363	12179
29	371	11997
30	378	11837
31	385	11671
32	393	11538
33	402	11424
34	411	11334
35	419	11221
36	426	11100
37	435	11014
38	442	10913
39	451	10827
40	458	10722
41	465	10613
42	471	10504
43	478	10405
44	485	10302
45	492	10219
46	499	10127
47	505	10029
48	512	9953
49	518	9858
50	525	9769
51	531	9682
52	537	9597
53	543	9527
54	550	9450
55	556	9382
56	563	9321
57	570	9259
58	577	9209
59	584	9157
60	591	9108
61	598	9060
62	606	9017
63	613	8967
64	619	8916
65	627	8874
66	633	8827
67	641	8791
68	648	8752
69	655	8715
70	662	8671
71	669	8634
72	676	8595
73	683	8553
74	690	8519
75	697	8482
76	704	8445
77	711	8408
78	718	8371
79	725	8338
80	731	8300
81	738	8268
82	745	8236
83	753	8217
84	761	8200
85	768	8167
86	775	8136
87	782	8107
88	790	8087
89	797	8061
90	804	8040
91	812	8023
92	821	8008
93	828	7982
94	835	7959
95	842	7937
96	850	7914
97	858	7899
98	865	7878
99	874	7869
100	880	7838
101	888	7818
102	895	7794
103	903	7784
104	911	7765
105	919	7751
106	926	7730
107	934	7719
108	941	7700
109	949	7685
110	957	7665
111	964	7647
112	972	7630
113	978	7604
114	986	7590
115	993	7568
116	1000	7548
117	1007	7527
118	1013	7503
119	1020	7484
120	1027	7460
121	1034	7443
122	1041	7423
123	1048	7405
124	1055	7386
125	1062	7371
126	1069	7353
127	1077	7342
128	1085	7328
129	1092	7311
130	1100	7297
131	1106	7277
132	1114	7267
133	1121	7248
134	1128	7230
135	1135	7212
136	1142	7195
137	1149	7180
138	1155	7159
139	1165	7161
140	1172	7143
141	1181	7139
142	1189	7126
143	1199	7130
144	1206	7114
145	1214	7101
146	1220	7081
147	1228	7074
148	1236	7061
149	1244	7050
150	1251	7038
151	1258	7023
152	1266	7009
153	1273	6994
154	1280	6982
155	1287	6965
156	1295	6957
157	1302	6943
158	1311	6937
159	1318	6923
160	1327	6916
161	1333	6899
162	1341	6890
163	1350	6882
164	1358	6875
165	1366	6865
166	1374	6856
167	1382	6846
168	1391	6842
169	1398	6829
170	1408	6827
171	1416	6819
172	1425	6812
173	1432	6801
174	1442	6800
175	1449	6785
176	1457	6776
177	1464	6761
178	1471	6748
179	1477	6731
180	1484	6715
181	1491	6703
182	1497	6687
183	1505	6676
184	1512	6661
185	1519	6648
186	1526	6635
187	1534	6625
188	1541	6614
189	1547	6597
190	1556	6591
191	1562	6576
192	1571	6571
193	1578	6559
194	1586	6549
195	1592	6534
196	1600	6525
197	1607	6512
198	1614	6496
199	1621	6486
200	1627	6470
201	1635	6461
202	1642	6447
203	1649	6436
204	1656	6423
205	1662	6409
206	1669	6397
207	1676	6383
208	1685	6378
209	1692	6366
210	1700	6360
211	1708	6348
212	1716	6342
213	1723	6331
214	1732	6324
215	1739	6312
216	1746	6301
217	1753	6290
218	1760	6278
219	1768	6269
220	1775	6257
221	1783	6249
222	1790	6237
223	1797	6226
224	1804	6215
225	1811	6203
226	1819	6194
227	1826	6184
228	1836	6181
229	1843	6172
230	1851	6163
231	1859	6155
232	1867	6149
233	1875	6139
234	1883	6132
235	1891	6123
236	1899	6116
237	1907	6106
238	1915	6098
239	1922	6088
240	1930	6079
241	1937	6068
242	1945	6061
243	1952	6050
244	1960	6041
245	1968	6033
246	1976	6025
247	1983	6014
248	1990	6004
249	1997	5993
250	2004	5982
251	2011	5972
252	2018	5958
253	2026	5950
254	2032	5937
255	2040	5928
256	2046	5917
257	2053	5904
258	2061	5896
259	2068	5886
260	2075	5877
261	2082	5865
262	2090	5856
263	2096	5845
264	2104	5835
265	2111	5825
266	2117	5813
267	2124	5803
268	2130	5790
269	2139	5784
270	2146	5773
271	2153	5765
272	2160	5754
273	2167	5743
274	2175	5735
275	2182	5724
276	2192	5723
277	2200	5715
278	2209	5710
279	2217	5702
280	2224	5692
281	2232	5683
282	2239	5674
283	2246	5663
284	2254	5655
285	2261	5646
286	2269	5639
287	2276	5628
288	2283	5619
289	2291	5610
290	2298	5601
291	2308	5596
292	2316	5590
293	2325	5584
294	2335	5580
295	2342	5571
296	2355	5575
297	2363	5567
298	2371	5559
299	2379	5552
300	2387	5544
301	2395	5537
302	2403	5529
303	2411	5520
304	2419	5513
305	2427	5504
306	2435	5497
307	2441	5486
308	2449	5478
309	2456	5468
310	2464	5461
311	2471	5450
312	2479	5441
313	2485	5430
314	2492	5419
315	2498	5409
316	2505	5397
317	2512	5388
318	2518	5377
319	2525	5367
320	2532	5356
321	2538	5344
322	2545	5335
323	2552	5324
324	2558	5313
325	2565	5305
326	2573	5297
327	2580	5287
328	2587	5277
329	2594	5267
330	2600	5256
331	2606	5245
332	2613	5234
333	2620	5224
334	2627	5214
335	2633	5203
336	2639	5193
337	2646	5183
338	2652	5172
339	2660	5163
340	2666	5152
341	2673	5144
342	2680	5134
343	2688	5126
344	2695	5118
345	2702	5109
346	2710	5100
347	2717	5091
348	2726	5084
349	2734	5078
350	2743	5072
351	2751	5064
352	2760	5059
353	2768	5051
354	2776	5044
355	2784	5036
356	2792	5029
357	2800	5022
358	2809	5016
359	2819	5011
360	2828	5005
361	2837	5001
362	2845	4992
363	2853	4985
364	2861	4977
365	2869	4970
366	2877	4962
367	2885	4955
368	2893	4947
369	2901	4939
370	2908	4931
371	2915	4922
372	2922	4913
373	2929	4903
374	2937	4895
375	2943	4885
376	2950	4875
377	2956	4864
378	2962	4854
379	2969	4844
380	2975	4834
381	2982	4824
382	2988	4814
383	2996	4806
384	3003	4798
385	3010	4788
386	3018	4780
387	3024	4771
388	3031	4761
389	3038	4752
390	3044	4742
391	3052	4735
392	3059	4725
393	3066	4717
394	3073	4707
395	3080	4698
396	3087	4689
397	3093	4679
398	3100	4669
399	3106	4659
400	3113	4650
401	3119	4640
402	3125	4630
403	3132	4621
404	3139	4612
405	3146	4603
406	3152	4592
407	3159	4584
408	3167	4577
409	3173	4567
410	3181	4558
411	3187	4549
412	3196	4543
413	3205	4537
414	3214	4530
415	3220	4521
416	3228	4513
417	3235	4504
418	3242	4495
419	3249	4487
420	3256	4479
421	3263	4470
422	3270	4461
423	3277	4452
424	3285	4445
425	3293	4438
426	3301	4430
427	3311	4426
428	3319	4418
429	3328	4412
430	3335	4403
431	3343	4395
432	3351	4388
433	3358	4380
434	3365	4371
435	3373	4364
436	3380	4355
437	3389	4349
438	3397	4341
439	3405	4334
440	3413	4326
441	3421	4318
442	3429	4311
443	3437	4304
444	3444	4295
445	3450	4285
446	3457	4277
447	3464	4268
448	3471	4259
449	3477	4250
450	3484	4242
451	3492	4233
452	3498	4224
453	3505	4215
454	3512	4207
455	3519	4198
456	3526	4189
457	3532	4180
458	3538	4171
459	3544	4161
460	3551	4152
461	3559	4145
462	3565	4135
463	3572	4127
464	3579	4118
465	3586	4109
466	3591	4099
467	3597	4089
468	3604	4080
469	3610	4071
470	3616	4062
471	3622	4052
472	3628	4043
473	3635	4034
474	3641	4025
475	3648	4016
476	3655	4007
477	3661	3998
478	3668	3990
479	3675	3981
480	3681	3972
481	3688	3963
482	3695	3955
483	3703	3948
484	3710	3939
485	3717	3931
486	3725	3924
487	3732	3916
488	3740	3908
489	3747	3900
490	3755	3893
491	3765	3887
492	3772	3879
493	3780	3871
494	3788	3864
495	3797	3858
496	3805	3851
497	3812	3843
498	3820	3835
499	3827	3827
500	3835	3820
501	3843	3812
502	3851	3805
503	3858	3797
504	3866	3789
505	3874	3782
506	3882	3775
507	3890	3767
508	3898	3760
509	3905	3752
510	3912	3743
511	3918	3735
512	3925	3726
513	3932	3718
514	3939	3709
515	3948	3703
516	3955	3695
517	3963	3687
518	3970	3679
519	3976	3671
520	3983	3662
521	3990	3654
522	3997	3646
523	4004	3637
524	4011	3629
525	4018	3621
526	4026	3614
527	4033	3605
528	4040	3597
529	4047	3589
530	4054	3580
531	4062	3573
532	4068	3564
533	4075	3556
534	4082	3548
535	4089	3540
536	4096	3531
537	4102	3522
538	4109	3514
539	4116	3506
540	4124	3499
541	4131	3491
542	4138	3483
543	4145	3475
544	4152	3466
545	4160	3459
546	4168	3451
547	4176	3444
548	4184	3437
549	4193	3431
550	4203	3424
551	4211	3417
552	4220	3411
553	4228	3404
554	4236	3396
555	4243	3389
556	4251	3381
557	4258	3373
558	4266	3365
559	4274	3358
560	4281	3350
561	4290	3343
562	4297	3335
563	4305	3328
564	4312	3320
565	4320	3313
566	4328	3305
567	4337	3298
568	4347	3292
569	4357	3287
570	4365	3279
571	4373	3272
572	4380	3264
573	4389	3257
574	4395	3249
575	4403	3241
576	4410	3233
577	4417	3224
578	4423	3216
579	4430	3208
580	4437	3200
581	4444	3191
582	4450	3183
583	4457	3175
584	4465	3167
585	4472	3159
586	4479	3151
587	4487	3144
588	4494	3136
589	4501	3128
590	4508	3119
591	4515	3111
592	4522	3104
593	4529	3096
594	4536	3087
595	4543	3079
596	4551	3072
597	4559	3065
598	4566	3057
599	4574	3049
600	4583	3042
601	4590	3035
602	4598	3027
603	4605	3019
604	4614	3012
605	4622	3005
606	4629	2997
607	4637	2990
608	4644	2982
609	4652	2974
610	4660	2967
611	4667	2959
612	4674	2951
613	4683	2944
614	4690	2936
615	4699	2929
616	4706	2921
617	4714	2914
618	4722	2906
619	4730	2899
620	4737	2891
621	4748	2885
622	4757	2878
623	4766	2872
624	4776	2865
625	4783	2857
